代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4806,桂田文創,9.82,10.15,9.96,-0.02,-0.2,28,96.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,--,7.03,-49.53,-12.99,112.4,-0.04,36.91,-0.55,0,--,0,9.99
4807,日成-KY,25.05,25.25,25.05,1.7,7.28,709,63.96,46,0,15,61,0,102,-102,-0.14,0,0,0,0,0,0,0,140,20,120,576,594,-18,18.28,173.1,-30.3,47.28,2271.06,1.7,27.72,6.79,0,7.72,946,4.9
4903,聯光通,44.9,44.95,44.9,-1.85,-3.96,3870,27.74,-801,0,0,-801,63,629,-566,-0.14,-606,0,0,29,577,0,0.16,387,847,-460,3459,2433,1026,28.6,118.42,-0.23,44.15,1547.62,0.37,7.53,3.26,0.67,25.93,4560,10.53
4904,遠傳,92.9,93,92.9,-1.1,-1.17,9292,65.98,-5850,1404,102,-4344,7371,8858,-1487,-0.16,-7572,0,1286,1558,7300,0.14,0.95,599,218,381,1374,268,1106,23,9539.71,4.42,11.34,113079.87,1.03,33.02,3.89,4.1,0.1,911,360.77
4905,台聯電,78.8,79.3,79,-2.1,-2.59,34,15.15,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,19.08,84.05,23.16,31.57,804.96,1.75,27.75,1.89,1.9,1.37,100,2.93
4906,正文,44.7,44.75,44.75,1.9,4.43,36892,57.53,5647,0,374,6021,16289,14092,2197,0.06,14810,15526,537,484,769,0.43,0.03,4825,5264,-439,15981,17739,-1758,--,1148.67,5.36,-23.21,14094.37,-0.32,10.35,-1.13,1.12,29.2,32617,44.68
4907,富宇,35.7,35.75,35.75,-1.25,-3.38,179,33.15,-21,0,0,-21,0,0,0,0,0,0,0,0,0,0,0,16,33,-17,166,149,17,9.71,1275.19,27.52,402.71,3399.8,2.76,45.43,12.38,4.2,1.49,440,11.81
4908,前鼎,259,259.5,259.5,-27,-9.42,4507,26.04,-772,0,-23,-795,1794,3096,-1302,-0.28,-2952,34,49,73,2962,0.02,0.65,970,696,274,1900,872,1028,131.06,74.05,-18.42,5.02,871.38,0.76,46.86,3.37,0.39,21.99,4299,7.82
4909,新復興,53.7,53.8,53.7,-1.7,-3.07,990,24.49,-52,0,-37,-89,132,106,26,0.03,-106,0,0,0,106,0,0.11,99,178,-79,778,725,53,--,17.07,-18.7,43.72,234.76,0.05,-19.82,0.17,0,24.49,5716,9.34
4911,德英,31.85,32.35,31.9,0.1,0.31,19,63.16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,17.24,11.3,6.27,-56.4,246.59,0.23,69.98,1.59,6.18,1.2,191,6.37
4912,聯德控股-KY,112.5,113,112.5,6,5.63,2248,50.85,12,0,1,13,1071,1045,26,0.01,792,912,79,78,121,0.44,0.09,439,358,81,768,874,-106,51.37,615.55,11.26,30.45,6678.06,1.35,19.98,2.23,1.52,27.66,4632,6.7
4915,致伸,71.9,72,72,-0.4,-0.55,4305,51.76,-2300,-20,5,-2315,2276,3375,-1099,-0.25,-2633,0,742,798,2577,0.17,0.78,625,437,188,1426,516,910,13.66,5468.32,-2.66,13.41,61978.92,1.3,15.9,2.84,6.35,3.33,3925,47.19
4916,事欣科,99.3,99.4,99.4,-1.1,-1.09,3226,27.74,399,0,-3,396,1227,1116,111,0.04,-1016,33,38,110,977,0.02,0.36,580,629,-49,1485,1547,-62,17.66,424.75,5.37,50.22,3947.88,4.49,20.15,16.36,0.5,29.69,9196,12.39
4919,新唐,206,206.5,206.5,-4.5,-2.13,44701,44.07,-2147,0,-440,-2587,31472,33939,-2467,-0.05,8134,19720,509,503,11592,0.45,0.27,4440,3786,654,9358,7545,1813,--,2517.62,-19.81,1.59,30155.23,0.02,39.34,0.05,0,20.19,21190,41.98
