代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
4551,智伸科,139.5,140,139.5,-2,-1.41,2024,51.27,742,-609,-8,125,1400,1526,-126,-0.06,-174,0,1352,1396,130,0.66,0.75,312,202,110,325,309,16,20.91,760.53,-1.53,26.74,8366.13,2.7,23.48,3.47,3.01,6.08,1752,11.52
4552,力達-KY,21,21.05,21,0.45,2.19,147,53.74,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,13.64,314.24,-1.85,0.72,3362.19,0.12,17.72,0.21,2.86,7.38,2139,11.6
4554,橙的,30.1,30.6,30.5,0.1,0.33,88,57.14,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,-20,88,68,20,23.64,55.64,11.41,22.14,504.45,0.04,38.79,0.21,6.56,0.9,59,2.63
4555,氣立,50.7,50.8,50.7,-2.1,-3.98,873,46.27,193,0,-32,161,112,135,-23,-0.03,-79,0,56,43,92,0.06,0.15,69,224,-155,700,522,178,220.43,160.09,-1.16,17.78,1661.66,0.04,30.13,0.19,0.99,20.94,3663,7
4556,旭然,45.75,45.9,45.75,2.05,4.69,938,52.34,12,0,-1,11,0,0,0,0,0,0,0,0,0,0,0,26,45,-19,922,903,19,44.42,59.24,2.33,-10.34,694.7,0.13,36.53,0.67,1.31,2.15,227,4.23
4557,永新-KY,44.9,45.2,45.1,-0.6,-1.31,111,35.78,-21,0,1,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,0,--,307.69,6.69,-19.61,3498.65,0.11,23,-0.2,4.43,3.02,362,4.8
4558,寶緯,19.1,19.2,19.15,-0.45,-2.3,38,24.24,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,1915,170.98,-32.41,36.06,1605.7,0.06,11.17,0.35,0,2.35,294,5
4560,強信-KY,31.6,31.65,31.6,-1.2,-3.66,469,36.27,-111,0,-1,-112,185,161,24,0.05,-70,0,91,54,107,0.19,0.34,30,96,-66,254,212,42,11.01,174.04,-2.67,14.39,1753.96,0.76,36.23,2.53,4.75,1.62,275,6.81
4561,健椿,44.05,44.1,44.1,-3.6,-7.55,564,39.23,83,0,-1,82,0,30,-30,-0.05,-30,0,0,30,0,0,0.05,89,81,8,481,459,22,68.91,93.82,-27.65,15.01,979.81,0.25,23.03,1.08,0.45,9.23,1350,5.85
4562,穎漢,37.6,37.7,37.65,-2.9,-7.15,887,42.84,197,0,-1,196,0,98,-98,-0.11,-98,0,0,28,70,0,0.11,84,66,18,810,730,80,--,64.19,-11.85,10.03,706.97,0.11,40.69,1.04,0,12.17,2663,8.75
4563,百德,46.05,46.35,46.15,-3,-6.1,449,49.77,39,0,-7,32,0,0,0,0,0,0,0,0,0,0,0,29,78,-49,423,374,49,--,261.09,9.16,17.89,2649.93,-0.52,27.17,-2.19,0,8.46,1162,5.5
4564,元翎,15.55,15.6,15.6,-0.4,-2.5,666,39.64,26,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,37,-37,675,638,37,--,65.31,1.21,-42.74,906.3,-0.3,-21.44,-1.68,0,18.3,10650,23.28
4566,時碩工業,63.6,63.7,63.6,-4.6,-6.74,860,47.35,-32,0,0,-32,65,103,-38,-0.04,-83,0,20,20,83,0.02,0.12,118,63,55,689,706,-17,68.39,481.19,3.05,5.52,5103.71,0.37,21.89,0.85,1.07,16.67,4585,11
4568,科際精密,41.4,41.9,41.85,-0.05,-0.12,4,100,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,28.86,95.07,-12.76,-4.66,1201.81,0.48,29.31,1.36,4.78,0.57,45,3.17
4569,六方科-KY,161,162,161.5,-8,-4.72,102,39.51,-10,0,0,-10,11,23,-12,-0.12,-12,0,11,12,11,0.11,0.22,4,5,-1,88,75,13,33.51,167.87,11.66,14.59,1870.83,3.22,28.11,3.55,2.01,11.11,850,3.06
4571,鈞興-KY,190.5,191,191,-4,-2.05,649,52.16,66,0,2,68,243,215,28,0.04,28,0,243,215,0,0.37,0.33,185,207,-22,233,238,-5,21.66,259.05,9.99,7.22,3033.1,2.41,34.5,3.82,2.76,12.28,1628,5.3
4572,駐龍,142,143.5,143,-3.5,-2.39,62,42.11,5,0,0,5,9,23,-14,-0.22,-23,0,0,0,23,0,0.36,4,0,4,51,41,10,53.96,52.38,-18.19,-9.62,676.22,0.92,33.39,1.9,3.5,3.12,312,4
4576,大銀微系統,210,210.5,210,-10.5,-4.76,2353,52.02,558,30,-62,526,1406,1353,53,0.02,-72,0,1281,1163,190,0.53,0.56,239,305,-66,782,769,13,82.68,335.39,-1.95,48.04,3188.68,0.96,39.01,2.93,0.38,9.39,2813,11.98
4577,達航科技,93.5,94,93.9,-3.7,-3.79,567,39.42,131,0,4,135,77,112,-35,-0.06,-78,0,34,32,80,0.06,0.19,53,65,-12,454,408,46,--,66.37,-5.77,62.58,846.37,-0.21,21.85,-1.08,0,10.95,1345,4.91
